product_name,new_price [PLN],product_weight
Kawa mielona Taka dla Ciebie,22.0,0.25
Kawa ziarnista Taka dla Ciebie,22.0,0.25
Kawa mielona Taka jak lubisz,59.99,1.0
Kawa ziarnista Taka jak lubisz,59.99,1.0
Kawa mielona Taka jak lubisz,35.0,0.5
Kawa ziarnista Taka jak lubisz,35.0,0.5
Kawa mielona Taka jak lubisz,22.0,0.25
Kawa ziarnistaTaka jak lubisz,22.0,0.25
Kawa mielona Kongo Kivu,129.0,1.0
Kawa ziarnista Kongo Kivu,129.0,1.0
Kawa mielona Kongo Kivu,67.0,0.5
Kawa ziarnista Kongo Kivu,67.0,0.5
Kawa mielona Kongo Kivu,32.0,0.25
Kawa ziarnista Kongo Kivu,32.0,0.25
Kawa mielona Etiopia Sidamo,129.0,1.0
Kawa ziarnista Etiopia Sidamo,129.0,1.0
Kawa mielona Etiopia Sidamo,67.0,0.5
Kawa ziarnista Etiopia Sidamo,67.0,0.5
Kawa mielona Etiopia Sidamo,32.0,0.25
Kawa ziarnista Etiopia Sidamo,32.0,0.25
