name,previous_price [PLN],new_price [PLN],product_quantity,product_weight
"Kawa ziarnista specialty Black Crow White Pigeon Nicaragua Maragogype, 1 kg",169.99,118.99,1,1.0
"Kawa ziarnista specialty Black Crow White Pigeon Papua New Guinea Sigri, 1 kg",169.99,118.99,1,1.0
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Yirgacheffe, 250 g",54.99,38.49,1,0.25
"Kawa ziarnista specialty Black Crow White Pigeon Indonesia Sumatra, 250 g",54.99,38.49,1,0.25
"Kawa ziarnista specialty Black Crow White Pigeon Colombia San Adolfo (Filter), 200 g",64.99,45.49,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Myanmar Shwe Yi Mon (Filter), 200 g",64.99,45.49,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Costa Rica Tarrazu, 200 g",59.99,41.99,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Honduras Marcala, 200 g",59.99,41.99,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Vietnam Dak Lak, 200 g",59.99,41.99,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Colombia La Esperanza, 200 g",64.99,45.49,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Uganda Bugisu AA, 200 g",59.99,41.99,1,0.2
"Kawa ziarnista single-origin Black Crow White Pigeon DR Konga Kivu, 250 g",54.99,38.49,1,0.25
"Kawa ziarnista specialty Black Crow White Pigeon Indonesia Sumatra, 1 kg",179.99,125.99,1,1.0
"Kawa ziarnista specialty Black Crow White Pigeon Papua New Guinea Sigri, 250 g",59.99,41.99,1,0.25
"Kawa ziarnista Specialty Black Crow White Pigeon Ethiopia Yirgacheffe, 1 kg",169.99,118.99,1,1.0
"Kawa ziarnista specialty Black Crow White Pigeon Brazil Santa Luzia, 250 g",60.79,42.55,1,0.25
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Café au Lait, 16 szt.",19.99,16.99,1,16.0
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Caramel Latte, .",59.97,34.0,3,16.0
"Kapsułki kakaowe NESCAFÉ® Dolce Gusto® CHiATO Cocoa, .",59.97,34.0,3,16.0
