product_name,price_old [PLN],price_netto [PLN],new_price [PLN],package_weight [KG]
Kapsułki Nescafé Dolce Gusto Café au Lait 3x16 sztuk,79.98,52.4123,64.47,
Kapsułki Nescafé Dolce Gusto Café au Lait 16 sztuk,29.99,19.5023,23.99,
Kawa mielona Lavazza Espresso Italiano,22.49,15.5423,19.12,0.25
Kawa ziarnista LaCava Certified Espresso Blend BIO,59.0,33.5823,41.3,0.35
Kawa ziarnista LaCava Black Art Espresso Blend,129.0,73.4123,90.3,1.0
Kawa ziarnista LaCava Black Art Espresso,49.0,27.8923,34.3,0.35
Kawa ziarnista LaCava El Salvador El Cocal Espresso,69.0,39.2723,48.3,0.25
Kawa ziarnista LaCava Colombia El Rubi Espresso,69.0,39.2723,48.3,0.25
Kawa ziarnista LaCava Honduras Finca Don Andres Filtr,69.0,39.2723,48.3,0.25
Kawa ziarnista Ferucci Braziliana,99.0,56.3423,69.3,1.0
Kawa ziarnista Ferucci Dolce Crema,99.0,56.3423,69.3,1.0
Kawa w kapsułkach Costa Coffee The Warming Blend kompatybilne z ekspresami Nespresso®* - 10 szt.,21.49,14.6323,17.99,
Kawa ziarnista BeMyBean Kenia Tembo,58.0,34.4223,42.34,0.25
Kawa ziarnista Java Gwatemala El Duranzo Winter Espresso,65.0,43.8623,53.95,0.25
Kawa ziarnista BeMyBean Kolumbia Luz Marina,59.0,35.0223,43.07,0.25
Kawa ziarnista Costa Coffee Signature Blend,94.99,44.7123,54.99,1.0
Kawa ziarnista Costa Coffee Bright Latin Blend,99.99,51.2123,62.99,1.0
Kawa ziarnista HAYB Sie Przelewa Klasyk,125.0,73.1723,90.0,1.0
Kawa ziarnista HAYB Sie Przelewa Klasyk,34.0,19.9023,24.48,0.25
Kawa ziarnista HAYB Yellow Espresso Blend,119.0,69.6623,85.68,1.0
Kawa ziarnista Paloma Brazylia San Rafael,130.0,70.8123,87.1,1.0
Kawa ziarnista Paloma Kolumbia Golden Huila,136.0,74.0823,91.12,1.0
ZESTAW - COFFEE PLANT Sweet Brazil Shot  + Waga Timemore Mini Espresso,333.86,203.3823,250.16,0.25
ZESTAW - Kawa ziarnista Bazzara GRANCAPPUCCINO 3x + szklanki termiczne Cappuccino 210 ml - 4 sztuki,485.07,304.4423,374.46,1.0
Kawa ziarnista Świeżo Palona Ale Owoc! Mexico Oaxaca Sierra Mazateca Washed,49.5,32.2023,39.6,0.25
Kawa ziarnista Świeżo Palona Poranne Przelewki Tanzania Korongo,49.5,32.2023,39.6,0.25
Kawa ziarnista Instytut Kawy Kolumbia La Ricaurte,79.0,48.1723,59.25,0.25
Kawa ziarnista Instytut Kawy Etiopia Shantawene - Bombe,59.0,35.9823,44.25,0.25
Kawa ziarnista Instytut Kawy Rwanda Cafe des Mamas,54.0,32.9323,40.5,0.25
Kawa ziarnista Instytut Kawy Kenia Baragwi Gachami,59.0,35.9823,44.25,0.25
Kawa ziarnista Instytut Kawy Gwatemala Huehuetenango SHB EP,38.0,23.1723,28.5,0.25
Kawa ziarnista Instytu Kawy Gwatemala Huehuetenango SHB EP,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Nikaragua Olomega SHG,38.0,23.1723,28.5,0.25
Kawa ziarnista Instytut Kawy Nikaragua Olomega SHG,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Kostaryka Tarrazu,38.0,23.1723,28.5,0.25
Kawa ziarnista Instytut Kawy Kostaryka Tarrazu,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Kuba Sierra Maestra,38.0,23.1723,28.5,0.25
Kawa ziarnista Instytut Kawy Tanzania Kent,59.0,35.9823,44.25,0.25
Kawa ziarnista Instytut Kawy Dominikana Barahona AA,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Dominikana Barahona AA,38.0,23.1723,28.5,0.25
Kawa ziarnista Costa Coffee Caffe Crema VELVET,74.99,47.1523,57.99,1.0
Kawa ziarnista MRC & Konesso Kolumbia Excelso,34.99,21.3323,26.24,0.25
Kawa ziarnista HAYB Konesso Filter Blend,139.99,81.9423,100.79,1.0
Kawa ziarnista HAYB Konesso Espresso Blend,37.99,22.2423,27.35,0.25
Kawa ziarnista HAYB Konesso Milk Blend,134.99,79.0223,97.19,1.0
Kawa ziarnista HAYB Konesso Milk Blend,36.99,21.6523,26.63,0.25
Kawa ziarnista The White Bear Kolumbia Medellin,46.0,29.9223,36.8,0.25
Kawa ziarnista The White Bear Kolumbia Excelso,122.0,79.3523,97.6,1.0
Kawa ziarnista HAYB Konesso Gwatemala Santa Rosa Barrel Aged Espresso,159.99,94.9523,116.79,1.0
Kawa ziarnista L'OR Crema Absolu Profond,59.99,43.8923,53.99,0.5
Kawa ziarnista Bazzara DODICIGRANCRU,47.99,32.3823,39.83,0.25
Kawa ziarnista Kimbo Aroma Gold,79.0,55.2823,67.99,1.0
Kawa ziarnista Etno Cafe Colombia Medellin,115.0,74.8023,92.0,1.0
4x Kawa ziarnista Bazzara DODICIGRANCRU  + filiżanka do espresso,197.55,133.9423,164.75,0.25
