product_name,price_old [PLN],price_netto [PLN],new_price [PLN],package_weight [KG]
Kawa ziarnista COFFEE PLANT Peru Papagayo Espresso,194.99,110.9723,136.49,1.0
Kawa ziarnista Lavazza Caffe Crema Leggero,84.99,58.7323,72.24,1.0
Kawa ziarnista Lavazza Tierra for Africa BIO,124.99,86.3723,106.24,1.0
Kawa ziarnista Kafar Christmas Coffee Brazylia Machado Silva Espresso,99.0,60.3723,74.25,1.0
Kawa ziarnista Kafar Brazylia Machado Silva Espresso,33.0,20.1223,24.75,0.25
Kawa ziarnista BeMyBean Kolumbia Valle del Cauca,52.0,30.8623,37.96,0.25
Kawa ziarnista BeMyBean Heavy Bean,109.0,64.6923,79.57,1.0
Kawa ziarnista BeMyBean Heavy Bean,32.0,18.9923,23.36,0.25
Kawa ziarnista BeMyBean Funky Bean,119.0,70.6323,86.87,1.0
Kawa ziarnista BeMyBean Funky Bean,39.0,23.1523,28.47,0.25
Kawa ziarnista BeMyBean Brazylia Patrocinio,109.0,64.6923,79.57,1.0
Kawa ziarnista BeMyBean Brazylia Patrocinio,32.0,18.9923,23.36,0.25
Kawa ziarnista BeMyBean Boogie Bean,109.0,64.6923,79.57,1.0
Kawa ziarnista BeMyBean Boogie Bean,32.0,18.9923,23.36,0.25
Kawa ziarnista Roastains Etiopia Mind-Blower,64.0,36.4223,44.8,0.25
Kawa ziarnista Roastains Etiopia Mind-Blower,210.0,119.5123,147.0,1.0
Kawa ziarnista KawePale Colombia Escobar Espresso,208.0,126.8323,156.0,1.0
Kawa ziarnista KawePale Dolce Vita Everyday,104.0,63.4123,78.0,1.0
Kawa ziarnista KawePale Dolce Vita Everyday,29.0,17.6823,21.75,0.25
Kawa ziarnista KawePale Mexico Swiss Water Process Decaf,45.0,27.4423,33.75,0.25
Kawa ziarnista KawePale Colombia Escobar,55.0,33.5423,41.25,0.25
Kawa ziarnista COFFEE PLANT Floral Essence Espresso,48.99,27.8823,34.29,0.25
Kawa ziarnista COFFEE PLANT Smooth Sweet Espresso,174.99,99.5923,122.49,1.0
Kawa ziarnista COFFEE PLANT Chocolate Bomb Espresso,147.99,84.2223,103.59,1.0
Kawa ziarnista COFFEE PLANT Intense Espresso,108.99,62.0223,76.29,1.0
Kawa ziarnista COFFEE PLANT Intense Espresso,28.99,16.5023,20.29,0.25
Kawa ziarnista COFFEE PLANT Kenia Decaf bezkofeinowa,68.99,39.2623,48.29,0.25
Kawa ziarnista COFFEE PLANT Kolumbia El Progreso,78.99,44.9523,55.29,0.25
Kawa ziarnista COFFEE PLANT Gwatemala Huehuetenango,48.99,27.8823,34.29,0.25
Kawa ziarnista Coffeelab Etiopia Konga Natural,58.0,40.0823,49.3,0.25
Kawa ziarnista Coffeelab Peru El Zorro,58.0,40.0823,49.3,0.25
Kawa ziarnista Coffeelab Burundi Ubuto,58.0,40.0823,49.3,0.25
Kawa ziarnista Coffeelab Meksyk Esmeralda,115.0,79.4723,97.75,1.0
Kawa ziarnista Coffeelab Meksyk Esmeralda,31.0,21.4223,26.35,0.25
Kawa ziarnista Coffeelab Uganda Mount Elgon,115.0,79.4723,97.75,1.0
Kawa ziarnista Coffeelab Uganda Mount Elgon,31.0,21.4223,26.35,0.25
Kawa ziarnista Zao Coffee Coffee Trip Gwatemala La Soledad,59.0,33.5823,41.3,0.25
Kawa ziarnista Zao Coffee Kenia Kegwa,67.0,38.1323,46.9,0.25
Kawa ziarnista Zao Coffee Espresso Sweet Joy,155.0,88.2123,108.5,1.0
Kawa ziarnista Zao Coffee Siekierka,105.0,59.7623,73.5,1.0
Kawa ziarnista Zao Coffee Siekierka,38.0,21.6323,26.6,0.3
Kawa ziarnista Zao Coffee Espresso Sweet Joy,50.0,28.4623,35.0,0.25
Kawa ziarnista HAYB Indonesia Team Pegasing Washed,60.0,35.1223,43.2,0.25
Kawa ziarnista HAYB IIndonesia Team Pegasing Carbonic Maceration,69.0,40.3923,49.68,0.25
Kawa ziarnista Indonesia Team Pegasing Carbonic Maceration Espresso,60.0,35.1223,43.2,0.25
Kawa ziarnista Coffee Heroes Brazylia Cerrado Filter,109.0,62.0323,76.3,1.0
Kawa ziarnista Coffee Heroes Brazylia Santos,99.0,56.3423,69.3,1.0
Kawa ziarnista Kefejeto Jesienny Honduras Las Delicias Espresso,120.0,68.2923,84.0,1.0
Kawa ziarnista Kafejeto Jesienny Honduras Las Delicias Espresso,40.0,22.7623,28.0,0.25
Kawa ziarnista Kafejeto Etiopia Aricha,65.0,36.9923,45.5,0.25
Kawa ziarnista Momento Tanzania Nº2 Filter,55.0,31.3023,38.5,0.25
Kawa ziarnista Momento Etiopia Nº11 Buncho Filter,62.0,35.2823,43.4,0.25
Kawa ziarnista Momento Etiopia Nº12 Qonqana Boreta Filter,62.0,35.2823,43.4,0.25
Drip-Bagi YoCo Coffee Kenya Kegwa 15x,70.0,42.6823,52.5,0.012
Kawa ziarnista Caffe Grano Etiopia Aricha,55.0,38.0123,46.75,0.25
Drip-Bagi Yoco Coffee Colombia Red Vermouth 15x,73.0,44.5123,54.75,0.012
Drip-Bagi Yoco Coffee Mix Monosort 15x,81.0,49.3923,60.75,0.012
Drip-Bagi Yoco Coffee Colombia Grapefruit Vermouth 15x,74.0,45.1223,55.5,0.012
Kawa ziarnista Yoco Coffee Rwanda Rusizi Filtr,69.0,42.0723,51.75,0.25
Drip-Bagi YoCo Coffee Ethiopia Gerbota 15x,81.0,49.3923,60.75,0.012
Kawa mielona illy Arabica Selection Brazil Cerrado Mineiro,34.99,24.3823,29.99,0.25
Kawa ziarnista Story Kenya Rungeto FCS Kiangoi,69.0,42.0723,51.75,0.25
Kawa ziarnista Story Etiopia Shantawene Buncho Washed,68.0,41.4623,51.0,0.25
Kawa ziarnista Harvest Kolumbia San Javier,37.0,25.5723,31.45,0.25
Kawa ziarnista RWANDA MUHABURA ONE & ONLY GEISHA,75.0,42.6823,52.5,0.2
Kawa ziarnista Harvest Kolumbia Monteblanco,69.0,47.6823,58.65,0.25
Kawa ziarnista KawePale Brasil Paraiso Filtr,39.0,23.7823,29.25,0.25
Kawa ziarnista KawePale Colombia La Loma Competition,89.0,54.2723,66.75,0.25
Kawa ziarnista KawePale Colombia Herrera Carbonic maceration,79.0,48.1723,59.25,0.25
Kawa ziarnista KawePale Colombia Itagui,69.0,42.0723,51.75,0.25
Kawa ziarnista KawePale Colombia Las Mercedes,59.0,35.9823,44.25,0.25
Kawa ziarnista KawePale Panama Altamira,67.0,40.8523,50.25,0.25
Kawa ziarnista KawePale Panama Palmarito Geisha,97.0,59.1523,72.75,0.2
Kawa ziarnista COFFEE PLANT Gwatemala Amapolas,129.0,73.4123,90.3,1.0
Kawa ziarnista COFFEE PLANT Flow Mellow Decaf,25.99,14.7923,18.19,0.1
Kawa ziarnista COFFEE PLANT Flow Jungle Fruit,134.99,76.8223,94.49,0.8
Kawa ziarnista COFFEE PLANT Flow Jungle Fruit,48.99,27.8823,34.29,0.25
Kawa ziarnista COFFEE PLANT Flow Jungle Fruit,25.99,14.7923,18.19,0.1
Kawa ziarnista COFFEE PLANT  Flow Blossom,129.99,73.9823,90.99,0.8
Kawa ziarnista COFFEE PLANT Flow Blossom,44.99,25.6023,31.49,0.25
Kawa ziarnista Zao Coffee Kolumbia Taco Roll,55.0,31.3023,38.5,0.1
Kawa ziarnista Zao Coffee Rwanda Humure Natural,69.0,39.2723,48.3,0.25
Kawa ziarnista Zao Coffee Espresso Deep Dive,135.0,76.8323,94.5,1.0
Kawa ziarnista Java Panama Dynamic Chilled  - Edycja limitowana,99.0,66.8023,82.17,0.2
Kawa ziarnista Java Kostaryka Cerro Los Vindas,69.0,46.5623,57.27,0.25
Kawa ziarnista Story Etiopia Sidamo Bombe Natural,66.0,40.2423,49.5,0.25
Kawa ziarnista Cafe Panamera Guatemala,33.0,21.4623,26.4,0.25
Kawa ziarnista Cafe Panamera Brazylia Santos,27.0,17.5623,21.6,0.25
Kawa ziarnista Cafe Panamera Brazylia Santos,99.0,64.3923,79.2,1.0
Kawa ziarnista Cafe Panamera Kolumbia Excelso,33.0,21.4623,26.4,0.25
Kawa ziarnista Cafe Panamera Kolumbia Excelso,119.0,77.4023,95.2,1.0
Kawa ziarnista Cafe Panamera Corrida,33.0,21.4623,26.4,0.25
Kawa ziarnista Cafe Panamera Corrida,119.0,77.4023,95.2,1.0
Kawa ziarnista Cafe Panamera Peru SHB Chanchamayo,29.0,18.8623,23.2,0.25
Kawa ziarnista Cafe Panamera Peru SHB Chanchamayo,109.0,70.8923,87.2,1.0
Kawa ziarnista Cafe Panamera Impresja,104.0,67.6423,83.2,1.0
Kawa ziarnista Cafe Panamera Tango,29.0,18.8623,23.2,0.25
Kawa ziarnista Cafe Panamera Tango,104.0,67.6423,83.2,1.0
Kawa ziarnista Cafe Panamera Czarna Magia,28.0,18.2123,22.4,0.25
Kawa ziarnista Cafe Panamera Czarna Magia,99.0,64.3923,79.2,1.0
Kawa ziarnista Cafe Panamera Impresja,29.0,18.8623,23.2,0.25
Kawa ziarnista Cafe Panamera Nomad,26.0,16.9123,20.8,0.25
Kawa ziarnista Cafe Panamera Nomad,89.0,57.8923,71.2,1.0
Kawa ziarnista Cafe Panamera Ciemna Strona Mocy,28.0,18.2123,22.4,0.25
Kawa ziarnista Cafe Panamera Ciemna Strona Mocy,99.0,64.3923,79.2,1.0
Kawa ziarnista Cafe Panamera Nocny Łowca,28.0,18.2123,22.4,0.25
Kawa ziarnista Cafe Panamera Nocny Łowca,99.0,64.3923,79.2,1.0
Kawa ziarnista Cafe Panamera Asystentka Zarządu,28.0,18.2123,22.4,0.25
Kawa ziarnista Cafe Panamera Asystentka Zarządu,99.0,64.3923,79.2,1.0
Kawa ziarnista Cafe Panamera Blady Świt,26.0,16.9123,20.8,0.25
Kawa ziarnista Cafe Panamera Blady Świt,89.0,57.8923,71.2,1.0
Kawa ziarnista Kafejeto Palarnia Wakacyjna Gwatemala Acatenango,120.0,68.2923,84.0,1.0
Kawa ziarnista Kafejeto Palarnia Wakacyjna Gwatemala Acatenango,40.0,22.7623,28.0,0.25
Drip Bag Coffee - kawa w saszetkach COFFEE PLANT Very Berry - 10 szt.,59.0,33.5823,41.3,
Drip Bag Coffee -  kawa w saszetkach COFFEE PLANT Juicy Fruit - 10 szt,59.0,33.5823,41.3,
Drip Bag Coffee - kawa w saszetkach COFFEE PLANT Brownie - 10 szt.,59.0,33.5823,41.3,
Kawa ziarnista Zao Coffee Kolumbia Sugar Cane Decaf,55.0,31.3023,38.5,0.25
Kawa ziarnista Zao Coffee Espresso Deep Dive,48.0,27.3223,33.6,0.25
Kawa ziarnista Eduscho Crema Gold,47.99,33.1623,40.79,1.0
Kawa ziarnista Salvatti Karisimbi,52.0,38.0523,46.8,0.25
Cold Brew Ingagi Coffee Waniliowa 250 ml,13.0,7.4023,9.1,
Kawa ziarnista LaCava Rwanda Muhondo Espresso,219.0,124.6323,153.3,1.0
Kawa ziarnista LaCava Rwanda Muhondo Espresso,65.0,36.9923,45.5,0.25
Kawa ziarnista Coffee Heroes Roastery Brazylia Cerrado Filter,34.0,19.3523,23.8,0.25
Kawa ziarnista Coffee Heroes Roastery Brazylia Santos Espresso,29.0,16.5023,20.3,0.25
Kawa ziarnista Java Etihopia Koke Filtr,58.0,39.1423,48.14,0.25
Kawa ziarnista Java Costa Rica Fatima Filtr,65.0,43.8623,53.95,0.25
Kawa ziarnista Hard Beans Espresso Set 4x,145.0,100.2023,123.25,0.25
Kawa ziarnista Supracafe Colombia 100% Arabica,134.99,93.2823,114.74,1.0
Kawa ziarnista Paloma Tanzania PB Mwankumbi,44.0,23.9723,29.48,0.25
Kawa ziarnista Harvest Rwanda Gitoki,45.0,31.1023,38.25,0.25
Kawa ziarnista Cafe Panamera Indonezja Sulawesi Kalossi,39.0,25.3723,31.2,0.25
Kawa ziarnista Cafe Panamera Indonezja Sulawesi Kalossi,139.0,90.4123,111.2,1.0
Kawa ziarnista Cafe Panamera Kostaryka Tarrazu,129.0,83.9023,103.2,1.0
Kawa ziarnista Cafe Panamera Ethiopia Sidamo,35.0,22.7623,28.0,0.25
Kawa ziarnista Cafe Panamera Ethiopia Sidamo,129.0,83.9023,103.2,1.0
Kawa ziarnista Cafe Panamera Guatemala,119.0,77.4023,95.2,1.0
Kawa ziarnista Cafe Panamera India Monsooned Malabar,33.0,21.4623,26.4,0.25
Kawa ziarnista Cafe Panamera India Monsooned Malabar,119.0,77.4023,95.2,1.0
Kawa ziarnista Cafe Panamera Kostaryka Tarrazu,39.0,25.3723,31.2,0.25
Kawa ziarnista Cafe Panamera El Salvador,29.0,18.8623,23.2,0.25
Kawa ziarnista Cafe Panamera El Salvador,109.0,70.8923,87.2,1.0
Kawa ziarnista Ferucci Gran Lattina,89.0,50.6523,62.3,1.0
Kawa ziarnista Ferucci Blue,109.0,62.0323,76.3,1.0
Kawa ziarnista Ferucci Monte Belo,129.0,73.4123,90.3,1.0
Kawa ziarnista LaCava Colombia La Cinta Filtr,75.0,42.6823,52.5,0.25
Kawa ziarnista LaCava Honduras Javier Fernandez Filtr,75.0,42.6823,52.5,0.25
Kawa ziarnista LaCava Indonesia Flores Mbohang Filtr,79.0,44.9623,55.3,0.25
Kawa ziarnista LaCava Ethiopia Idido Filtr,69.0,39.2723,48.3,0.25
Kawa ziarnista The White Bear Kenia Ndaroini AA Filtr,72.0,46.8323,57.6,0.25
Kawa ziarnista The White Bear Rwanda Munini Filtr,71.0,46.1823,56.8,0.25
Kawa ziarnista The White Bear Etiopia Bensa Kokosa Filtr,72.0,46.8323,57.6,0.25
Kawa ziarnista The White Bear Kostaryka Yellow Diamond Filtr,72.0,46.8323,57.6,0.25
Kawa ziarnista The White Bear Kolumbia/Indie,104.0,67.6423,83.2,1.0
Kawa ziarnista The White Bear Brazylia Monte Belo,46.0,29.9223,36.8,0.25
Kawa ziarnista The White Bear Brazylia Monte Belo,129.0,83.9023,103.2,1.0
Kawa ziarnista The White Bear Zestaw testowy filtr 4x,99.0,64.3923,79.2,0.08
Kawa ziarnista The White Bear Zestaw testowy espresso 4x,89.0,57.8923,71.2,0.1
Kawa mielona The White Bear Sypana,27.0,17.5623,21.6,0.25
Kawa ziarnista The White Bear Kolumbia/Indie,38.0,24.7223,30.4,0.25
Kawa ziarnista The White Bear Salwador Las Nubes,46.0,29.9223,36.8,0.25
Kawa ziarnista The White Bear Salwador Las Nubes,129.0,83.9023,103.2,1.0
Kawa ziarnista The White Bear Brazylia/Kolumbia,39.0,25.3723,31.2,0.25
Kawa ziarnista The White Bear Brazylia/Kolumbia,111.0,72.2023,88.8,1.0
Kapsułki do Nespresso Belmio Pumpkin Spice 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Festive Panettone 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Banoffee Pie 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Decaffeinato Caramel 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Decaffeinato Vanilla 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Let's go Coconutz 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Irish Dream 10 sztuk,16.99,9.6723,11.89,
Kapsułki do Nespresso Belmio Madame Crème Brulée  10 sztuk,16.99,9.6723,11.89,
Kawa ziarnista HAYB Brazylia+ Fazenda Barinas,145.0,84.8823,104.4,1.0
Kapsułki do Nespresso Jacobs Kronung Signature 20 szt.,26.99,19.7523,24.29,
Kapsułki Lavazza Espresso Point Dek Espresso - 100 sztuk - Kawa bezkofeinowa,163.0,117.8923,145.0,
Kapsułki Lavazza BLUE Reserva Tierra Selection - 100 sztuk,163.0,117.8923,145.0,
Kawa ziarnista Trismoka Miss Moka,36.99,24.0623,29.59,0.25
Kawa ziarnista Trismoka Miss Moka,129.99,84.5423,103.99,1.0
Kawa ziarnista Java Rwanda Spring Espresso,54.0,36.4423,44.82,0.25
Kawa ziarnista Kafar Honduras Irma Trochez,69.0,42.0723,51.75,0.25
Kawa ziarnista HAYB Etiopia Espresso,159.0,93.0723,114.48,1.0
Kawa ziarnista HAYB Etiopia Espresso,45.0,26.3423,32.4,0.25
Kawa ziarnista COFFEE PLANT Kolumbia La Reserva,69.0,39.2723,48.3,0.25
Kawa ziarnista Noble Coffee Brasil & Honduras - Królewski Duet,119.0,72.5623,89.25,1.0
Kawa ziarnista Noble Coffee Brasil&Honduras - Królewski Duet,35.0,21.3423,26.25,0.25
Kawa ziarnista Noble Coffee Peru Cajamarca,119.0,72.5623,89.25,1.0
Kawa ziarnista Noble Coffee Peru Cajamarca,35.0,21.3423,26.25,0.25
Kawa ziarnista Noble Coffee Brasil Mogiana - Szlachetne Doznanie,119.0,72.5623,89.25,1.0
Kawa ziarnista Noble Coffee Brasil Mogiana - Szlachetne Doznanie,35.0,21.3423,26.25,0.25
Kawa ziarnista Noble Coffee Kenya Muhamara Magomano FILTR,60.0,36.5923,45.0,0.25
Kawa ziarnista Noble Coffee Rwanda Cafe des Mamas FILTR,60.0,36.5923,45.0,0.25
Kawa ziarnista Noble Coffee Kostaryka Fatima FILTR,60.0,36.5923,45.0,0.25
Kawa ziarnista Noble Coffee Ethiopia Guji FILTR,60.0,36.5923,45.0,0.25
Kawa ziarnista Noble Coffee Mexico Finca Don Rafa FILTR,65.0,39.6323,48.75,0.25
Kawa ziarnista Caffe Grano Rwanda Muhondo,59.0,40.7723,50.15,0.25
Kawa ziarnista LaCava Kenya Muchagara,65.0,36.9923,45.5,0.25
Kawa ziarnista LaCava Colombia Monteblanco,89.0,50.6523,62.3,0.2
Kapsułki NESCAFÉ® Dolce Gusto® Dallmayr Crema d'Oro Caffè Latte 16 sztuk,29.99,19.5023,23.99,
Kapsułki NESCAFÉ® Dolce Gusto® Dallmayr Crema d'Oro 16 sztuk,29.99,19.5023,23.99,
Kapsułki NESCAFÉ® Dolce Gusto® Dallmayr Crema d'Oro Intensa 16 sztuk,29.99,19.5023,23.99,
Kawa ziarnista Story Brazylia Sìtio Morada do Sol Espresso,47.0,28.6623,35.25,0.25
Kawa mielona Eduscho Classic Coffee Strong,11.99,8.2823,10.19,0.25
Kawa mielona Eduscho Classic Coffee Strong,19.99,13.8123,16.99,0.5
Kawa ziarnista Eduscho Crema Gold,27.99,19.3423,23.79,0.5
Kawa ziarnista Eduscho Espresso Intenso,27.99,19.3423,23.79,0.5
Kawa ziarnista Eduscho Espresso Intenso,47.99,33.1623,40.79,1.0
Kawa ziarnista Eduscho Espresso Classic,33.99,23.4923,28.89,0.5
Kawa ziarnista Eduscho Espresso Classic,47.99,33.1623,40.79,1.0
Kawa ziarnista Eduscho Caffe Crema Strong,33.99,23.4923,28.89,0.5
Kawa ziarnista Eduscho Caffe Crema Strong,47.99,33.1623,40.79,1.0
Kawa ziarnista LaCava Guatemala San Ramon Espresso,65.0,36.9923,45.5,0.25
Kawa ziarnista Story Decaf Colombia Cauca,55.0,33.5423,41.25,0.25
Kawa mielona Palombini Moka Gusto Classico,19.0,13.1323,16.15,
Kawa ziarnista Palombini Super Crema,79.0,54.5923,67.15,1.0
Kawa ziarnista Palombini Caffe Dolce Italia,89.0,61.5023,75.65,1.0
Kawa ziarnista Palombini Caffe Roma,99.0,68.4123,84.15,1.0
Kawa ziarnista Story Guatemala La Marvilla,62.0,37.8023,46.5,0.25
Kawa mielona Bazzara Luxury Blend Panasiatica,47.99,32.3823,39.83,0.25
Kawa ziarnista Bazzara Luxury Blend Panasiatica,47.99,32.3823,39.83,0.25
Kawa mielona Bazzara Luxury Blend Panafricana,47.99,32.3823,39.83,0.25
Kawa ziarnista Bazzara Luxury Blend Panafricana,47.99,32.3823,39.83,0.25
Kawa mielona Bazzara Luxury Blend Panamericana,47.99,32.3823,39.83,0.25
Kawa ziarnista Bazzara Luxury Blend Panamericana,47.99,32.3823,39.83,0.25
Kawa ziarnista Roastains Blend Kickflipper FILTR,58.0,33.0123,40.6,0.25
Kawa ziarnista Roastains Etiopia High Flyer FILTR,64.0,36.4223,44.8,0.25
Cascara Gwatemala Julio Melendez Geisha,39.0,22.2023,27.3,0.15
Drip-Bagi YoCo Coffee Ethiopia Gerbota 20x,85.0,51.8323,63.75,0.012
Drip-Bagi YoCo Coffee Mexico Decaf Veracruz 20x,67.0,40.8523,50.25,0.012
Drip-Bagi YoCo Coffee Colombia Red Vermouth 20x,78.0,53.9023,66.3,0.012
Drip-Bagi YoCo Coffee Colombia Coconut Rum 20x,92.0,56.1023,69.0,0.012
Kawa ziarnista Gemini Originale Espresso,94.0,57.3223,70.5,1.0
Kawa ziarnista Gemini Oro Espresso,123.0,75.0023,92.25,1.0
Kawa ziarnista Gemini Platinum Espresso,109.0,66.4623,81.75,1.0
Kawa ziarnista Gemini Gold Espresso,98.0,59.7623,73.5,1.0
Kawa ziarnista Kafejeto Palarnia Kolumbia Miriam Quesada,69.0,39.2723,48.3,0.25
Kawa ziarnista Java Sweet Kick Espresso Blend,44.0,29.6923,36.52,0.25
Kawa ziarnista Story Spring Coffee Ethiopia Sidama Espresso,52.0,31.7123,39.0,0.25
HAYB Tonic Cold Brew 200 ml,11.0,6.4423,7.92,
Kawa ziarnista HAYB Brazylia+ Fazenda Barinas,41.0,24.0023,29.52,0.25
Kawa ziarnista Gemini Miscela Espresso,87.0,53.0523,65.25,1.0
Kawa ziarnista YoCo Coffee Colombia Cofinet,199.0,121.3423,149.25,1.0
Kawa ziarnista YoCo Coffee Colombia Monteblanco Filtr,94.0,57.3223,70.5,0.25
Kawa ziarnista YoCo Coffee El Salvador Santa Ana Filtr,69.0,42.0723,51.75,0.25
Drip-Bagi YoCo Coffee Ethiopia Gerbota 5x,30.0,18.2923,22.5,0.012
Kawa ziarnista YoCo Coffee Ethiopia Gerbota Filtr,79.0,48.1723,59.25,0.25
Kawa ziarnista YoCo Coffee Mexico Decaf Vercruz Espresso,52.0,31.7123,39.0,0.25
Drip-Bagi YoCo Coffee Mexico Decaf Veracruz Bezkofeinowa 5x,23.0,14.0223,17.25,0.012
Kawa ziaarnista YoCo Coffee Mexico Decaf Veracruz Filtr,52.0,31.7123,39.0,0.25
Kawa ziarnista YoCo Coffee Colombia Grapefruit Vermouth Filtr,74.0,45.1223,55.5,0.25
Kawa ziarnista YoCo Coffee Colombia Coconut Rum Filtr,79.0,48.1723,59.25,0.25
Kawa ziarnista YoCo Coffee Colombia Red Vermouth Filtr,74.0,45.1223,55.5,0.25
Kawa ziarnista YoCo Coffee Honduras Aruco Espresso,54.0,32.9323,40.5,0.25
Kawa ziarnista Hausbrandt Decaffeinato  - kawa bezkofeinowa,129.99,89.8323,110.49,1.0
Kapsułki do Nespresso Hausbrandt Intenso 10 szt,17.9,12.3723,15.22,
Kapsułki do Nespresso Hausbrandt Gourmet 100% Arabica 10 szt,17.9,12.3723,15.22,
ZESTAW - Kawa ziarnista MK Cafe Fresh Intenso 3x,161.67,119.4923,146.97,1.0
ZESTAW - Kawa ziarnista MK Cafe Fresh Brazil Santos 2x,128.68,96.5723,118.78,1.0
Kawa ziarnsta Momento Fruity Filter Blend,45.0,25.6123,31.5,0.25
Kawa ziarnista Momento Nutty Filter Blend,35.0,19.9223,24.5,0.25
Kawa ziarnista Story Colombian Queen x El Puente,60.0,36.5923,45.0,0.25
Kawa ziarnista KawePale Kawa Na Ratunek,33.0,20.1223,24.75,0.25
Kawa ziarnista KawePale Kawa Na Ratunek,115.0,70.1223,86.25,1.0
ZESTAW Kawa ziarnista Bazzara Piacerepuro  + Dolcevivace  + Dodicigrancru 2x250g,335.58,226.4523,278.53,1.0
Kawa ziarnista Barshaker Peru Colca Omniroast,59.0,38.3723,47.2,0.25
Kawa ziarnista Barshaker Peru Colca Omniroast,249.0,161.9523,199.2,1.0
Kawa ziarnista Yoco Coffee Honduras Aruco,54.0,32.9323,40.5,0.25
Kawa ziarnista Trip Coffee Kostaryka,32.99,21.4623,26.39,0.25
Kawa ziarnista Trip Coffee Gwatemala,32.99,21.4623,26.39,0.25
Kawa ziarnista Trip Coffee Meksyk,32.99,21.4623,26.39,0.25
Kawa ziarnista Trip Coffee Peru,32.99,21.4623,26.39,0.25
Kawa ziarnista Świeżo Palona Codzienny Przelew Rwanda Ibis PB,45.9,29.8523,36.72,0.25
Kawa ziarnista PIXEL Papua New Gwinea Tairora,59.0,38.3723,47.2,0.25
Kawa ziarnista PIXEL Ethiopia Legesse Barsamo Nensebo,59.0,38.3723,47.2,0.25
Kawa ziarnista Paloma Rwanda Caph Banana Beer,79.0,43.0323,52.93,0.2
Kawa ziarnista Paloma Indonezja Mbohang Palm Juice,76.0,41.4023,50.92,0.2
ZESTAW - Kawa ziarnista Eduscho Espresso Intenso 2x,79.98,60.4723,74.38,1.0
ZESTAW - Kawa ziarnista Eduscho Espresso Classic 2x,79.98,60.4723,74.38,1.0
ZESTAW - Kawa ziarnista Eduscho Caffe Crema Strong 2x,79.98,60.4723,74.38,1.0
Kawa ziarnista Eduscho Caffe Variation,47.99,33.1623,40.79,1.0
Kawa ziarnista LaCava Shady Bru,139.0,79.1123,97.3,1.0
Kawa ziarnista LaCava Shady Bru,55.0,31.3023,38.5,0.35
Kawa ziarnista LaCava Juicy Bru,159.0,90.4923,111.3,1.0
Kawa ziarnista Coffee Grange Brasil Fazenda Sitio Pagung – Fine Robusta,52.0,27.4823,33.8,0.25
Kawa ziarnista Coffee Grange Brasil Chácara Boa Esperança – Fine Robusta,52.0,27.4823,33.8,0.25
Kawa ziarnista Coffee Grange Guatemala Rio Azul Washed,58.0,30.6523,37.7,0.25
Kawa ziarnista Coffee Grange Guatemala Catalan De Las Mercedes Red Bourbon Washed,60.0,31.7123,39.0,0.25
Kawa ziarnista Coffee Grange Guatemala Catalan de Las Mercedes Pacamara Washed,65.0,34.3523,42.25,0.25
Kawa ziarnista Coffee Grange Guatemala De Las Mercedes Maragogype Washed,65.0,34.3523,42.25,0.25
Kawa ziarnista Coffee Grange Colombia Tumbaga Sugarcane Decaf Washed,55.0,29.0723,35.75,0.25
Kawa ziarnista Coffee Grange Colombia Juan Gomez Geisha Washed,78.0,41.2223,50.7,0.15
Kawa ziarnista Coffee Grange Espresso Grange,45.0,23.7823,29.25,0.25
Kawa ziarnista Kafar Burundi Yandaro,59.0,35.9823,44.25,0.25
Kawa ziarnista Kafar Kostaryka Hacienda Sonora,69.0,42.0723,51.75,0.25
Kawa ziarnista LaCava Juicy Bru,59.0,33.5823,41.3,0.35
Kawa ziarnista Super Tuscan Espresso,139.0,79.1123,97.3,1.0
Kawa ziarnista LaCava Super Tuscan Espresso,55.0,31.3023,38.5,0.35
Kawa ziarnista Kafar Etiopia Yirgacheffe Natural,149.0,90.8523,111.75,1.0
ZESTAW - Kawa ziarnista MK Cafe Fresh Intenso 2x,108.88,80.4723,98.98,1.0
Kawa ziarnista Bazzara Luxury Blend Panasiatica,159.99,107.9623,132.79,1.0
Kawa ziarnista Bazzara Luxury Blend Panafricana,159.99,107.9623,132.79,1.0
Kawa ziarnista PIXEL Espresso Royale,36.99,24.0623,29.59,0.25
Kawa ziarnista Świeżo Palona Colombia Supremo Don Pablo Espresso,36.99,24.0623,29.59,0.25
Kawa ziarnista MK Cafe Fresh Brazil Crema,64.99,48.7723,59.99,1.0
Kawa ziarnista PIXEL Black Velvet Espresso,39.99,26.0123,31.99,0.25
Kawa ziarnista Świeżo Palona Brazil Cerrado Espresso,39.99,26.0123,31.99,0.25
Kawa ziarnista LaCava El Salvador Josue Recinol Filtr,74.0,42.1123,51.8,0.25
ZESTAW Kawa ziarnista HAYB Sie Przelewa Klasyk  + HAYB Filter Blend,213.39,150.4623,185.07,1.0
