name,price_old,price_new
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Fragrante, 10 szt.",N/A,N/A
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Caramel Macchiato, 6 + 6 szt.","27,99","23,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Doppio Espresso, 16 szt.","24,99","23,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso, 16 szt.","23,99","21,79"
"Kawa w kapsułkach do Dolce Gusto® NESCAFÉ Dolce Gusto Grande Extra Crema, 30 szt.",N/A,N/A
"Kawa w kapsułkach do Dolce Gusto® NESCAFÉ Dolce Gusto Grande, 16 szt.","30,00","21,79"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® „Grande Intenso“, 16 szt.","23,99","22,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Roma, 16 szt.","34,99","20,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Palermo, 16 szt.","34,99","20,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso Milano, 16 szt.","27,99","20,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Oat Macchiato, 12 szt.","23,99","20,99"
"Kawa ziarnista Caprisette Professional, 250 g",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso Intenso, 18 szt.","23,99","22,99"
"Kawa ziarnista Caprisette Italiano, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Royale, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Crema, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Intenso, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Italiano, 250 g",N/A,N/A
"Kawa ziarnista Caprisette Royale, 250 g",N/A,N/A
"Kawa ziarnista Caprisette Dolce Vita, 250 g",N/A,N/A
"Kawa ziarnista Caprisette Dolce Vita, 1 kg",N/A,N/A
"Kawa ziarnista bezkofeinowa Caprisette Lullaby Decaf, 1 kg",N/A,N/A
"Limitowana edycja świątecznej kawy ziarnistej Christmas Blend, 250 g","57,99","40,59"
"Kawa ziarnista Caprisette Crema, 250 g",N/A,N/A
"Kawa mielona Parallel 17, 250 g",N/A,N/A
Zestaw kawy ziarnistej Parallel 12 + Parallel 17 + Parallel 36,"449,97","269,98"
"Kawa ziarnista specialty BFF Brew Honduras Comsa La Paz, 250 g","79,79","55,85"
"Kawa ziarnista specialty BFF Espresso Brazylia Mogiana/Tanzania Burka, 500 g","99,79","69,85"
"Kawa ziarnista specialty BFF Espresso Tanzania Burka, 500 g","99,79","69,85"
"Kawa ziarnista specialty BFF Brew Kolumbia La Claudina, 250 g","79,79","55,85"
"Kawa ziarnista single-origin Black Crow White Pigeon DR Congo Kivu, 1 kg","144,99","101,49"
"Kawa ziarnista specialty Black Crow White Pigeon Jamaica Blue Mountain, 250 g","349,99","244,99"
"Kawa ziarnista specialty Black Crow White Pigeon Nicaragua Maragogype, 1 kg","169,99","118,99"
"Kawa ziarnista specialty Black Crow White Pigeon Papua New Guinea Sigri, 1 kg","169,99","118,99"
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Yirgacheffe, 250 g","54,99","38,49"
"Kawa ziarnista specialty Black Crow White Pigeon Indonesia Sumatra, 250 g","54,99","38,49"
"Kawa ziarnista specialty Black Crow White Pigeon Colombia San Adolfo (Filter), 200 g","64,99","45,49"
"Kawa ziarnista specialty Black Crow White Pigeon Myanmar Shwe Yi Mon (Filter), 200 g","64,99","45,49"
"Kawa ziarnista specialty Black Crow White Pigeon Costa Rica Tarrazu, 200 g","59,99","41,99"
"Kawa ziarnista specialty Black Crow White Pigeon Honduras Marcala, 200 g","59,99","41,99"
"Kawa ziarnista specialty Black Crow White Pigeon Vietnam Dak Lak, 200 g","59,99","41,99"
"Kawa ziarnista specialty Black Crow White Pigeon Colombia La Esperanza, 200 g","64,99","45,49"
"Kawa ziarnista specialty Black Crow White Pigeon Uganda Bugisu AA, 200 g","59,99","41,99"
"Kawa ziarnista single-origin Black Crow White Pigeon DR Konga Kivu, 250 g","54,99","38,49"
"Kawa ziarnista specialty Black Crow White Pigeon Indonesia Sumatra, 1 kg","179,99","125,99"
"Kawa ziarnista specialty Black Crow White Pigeon Papua New Guinea Sigri, 250 g","59,99","41,99"
"Kawa ziarnista Specialty Black Crow White Pigeon Ethiopia Yirgacheffe, 1 kg","169,99","118,99"
"Kawa ziarnista specialty Black Crow White Pigeon Brazil Santa Luzia, 250 g","60,79","42,55"
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Café au Lait, 16 szt.","19,99","16,99"
"Zestaw kawy mielonej CHiATO Amaretto & Caramel & Crème Brûlée, 3 x 250 g",N/A,N/A
"Zestaw kawy mielonej CHiATO Amaretto & Caramel & Hazelnut, 3 x 250 g",N/A,N/A
"Zestaw kawy mielonej CHiATO Amaretto & Irish Cream & Crème Brûlée, 3 x 250 g",N/A,N/A
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Caramel Latte, 3 x 16 szt.","59,97","34,00"
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Lungo, 3 x 16 szt.",N/A,N/A
"Kapsułki kakaowe NESCAFÉ® Dolce Gusto® CHiATO Cocoa, 3 x 16 szt.","59,97","34,00"
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Cappuccino, 3 x 8+8 szt.",N/A,N/A
"Kapsułki  NESCAFÉ® Dolce Gusto® CHiATO Espresso, 3 x 16 szt.","59,97","34,00"
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Café au Lait, 3 x 16 szt.","59,97","34,00"
"Kapsułki NESCAFÉ® Dolce Gusto® Chococino, 8+8 szt.","27,99","21,79"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso Intenso, 16 szt.","27,99","21,79"
Kawowy kalendarz adwentowy Przyjaciół Kawy Premium Green (kawa ziarnista),"339,99","237,99"
Kawowy kalendarz adwentowy Przyjaciół Kawy Classic Blue (kawa ziarnista),"265,99","186,19"
Kawowy kalendarz adwentowy Przyjaciół Kawy Classic Blue (kawa mielona),"265,99","186,19"
Kalendarz adwentowy z kawą w kapsułkach Little’s do Nespresso,"130,99","91,69"
"Smakowa kawa rozpuszczalna Little’s Irish Cream Cracker, 50 g","35,99","26,99"
"Smakowa kawa rozpuszczalna Little’s Christmas Spirit Cracker, 50 g","35,99","26,99"
"Smakowa kawa rozpuszczalna Little’s Rich Hazelnut Cracker, 50 g","35,99","26,99"
"Kawa ziarnista Caprisette Fragrante, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Professional, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Belgique, 1 kg",N/A,N/A
"Kawa ziarnista Caprisette Fragrante, 250 g",N/A,N/A
"Kawa ziarnista Caprisette Belgique, 250 g",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café Au lait, 16 szt.","23,99","21,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cortado, 16 szt.","23,99","21,79"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Lungo, 16 szt.","23,99","21,79"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Caramel Latte Macchiato, 8+8 szt.","23,99","22,79"
"Kakao w kapsułkach NESCAFÉ® Dolce Gusto® Nesquik, 16 szt.","23,99","21,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Latte Macchiato, 8+8 szt.","23,99","21,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café au Lait Intenso, 16 szt.","29,99","21,79"
"Kawa w kapsułkach do Dolce Gusto® NESCAFÉ Dolce Gusto Flat White, 16 szt.","22,99","22,59"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cappuccino, 8+8 szt.","23,99","21,89"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Grande, 16 szt.",N/A,N/A
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks House Blend Grande, 12 szt.","27,99","23,99"
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Cappuccino, 6 + 6 szt.","27,99","23,99"
"Kawa ziarnista Charles Liégeois Mano Mano Puissant, 250 g",N/A,N/A
"Kawa ziarnista Charles Liégeois Bella Roma, 1 kg",N/A,N/A
Zestaw kawy ziarnistej Gold Label Organic + Bella Roma,"231,00","173,25"
"Kawa ziarnista Charles Liégeois Chiapas, 250 g",N/A,N/A
"Kawa ziarnista Charles Liégeois Kivu, 250 g",N/A,N/A
"Kawa ziarnista Charles Liégeois Mano Mano, 1 kg",N/A,N/A
