name,price_old,price_netto,price_new
Kawa ziarnista The White Bear Brazylia Guaxupe 250g,"38,00 zł","24,72 zł +23% VAT","30,40 zł"
ZESTAW - Kawa ziarnista Costa Coffee Colombian Roast 2x500g,"87,28 zł","55,19 zł +23% VAT","67,88 zł"
ZESTAW - Kawa ziarnista Costa Coffee Bright Blend  2x1kg,"127,38 zł","100,37 zł +23% VAT","123,46 zł"
ZESTAW - Kawa ziarnista Costa Coffee Colombian Roast 3x500g,"129,57 zł","81,93 zł +23% VAT","100,77 zł"
ZESTAW - Kawa ziarnista Costa Coffee Bright Blend 3x1kg,"191,07 zł","150,56 zł +23% VAT","185,19 zł"
Kawa ziarnista The White Bear Kolumbia Medellin 1kg,"129,00 zł","83,90 zł +23% VAT","103,20 zł"
Kapsułki do Nespresso STARBUCKS® Espresso Roast 10 sztuk,"25,99 zł","16,25 zł +23% VAT","19,99 zł"
Kapsułki do Nespresso STARBUCKS® House Blend Lungo 10 sztuk,"25,99 zł","16,25 zł +23% VAT","19,99 zł"
Kapsułki do Nespresso STARBUCKS® Pike Place Roast 10 sztuk,"25,99 zł","16,25 zł +23% VAT","19,99 zł"
Kawa ziarnista HAYB Sie Przelewa Tropik 500g,"94,00 zł","55,02 zł +23% VAT","67,68 zł"
Kawa ziarnista HAYB Sie Przelewa Owoc 500g,"87,00 zł","50,93 zł +23% VAT","62,64 zł"
Kawa ziarnista HAYB Sie Przelewa Kwiat 500g,"87,00 zł","50,93 zł +23% VAT","62,64 zł"
Kawa ziarnista HAYB Sie Przelewa Klasyk 500g,"66,00 zł","38,63 zł +23% VAT","47,52 zł"
Kawa ziarnista LaCava Kenya Rung'eto Kii 250g,"65,00 zł","36,99 zł +23% VAT","45,50 zł"
Kawa ziarnista LaCava Kenya Rung'eto Kii 1kg,"219,00 zł","124,63 zł +23% VAT","153,30 zł"
Kawa ziarnista LaCava Guatemala Finca La Soledad 250g,"65,00 zł","36,99 zł +23% VAT","45,50 zł"
Kawa ziarnista LaCava Colombia La Reserva 250g,"79,00 zł","44,96 zł +23% VAT","55,30 zł"
Kawa ziarnista LaCava Rwanda Muhondo Filter 250g,"65,00 zł","36,99 zł +23% VAT","45,50 zł"
ZESTAW - Kawa Lavazza Crema e Aroma 2x1kg + Filiżanka Lavazza Cappuccino 160ml,N/A,"141,00 zł +23% VAT","173,43 zł"
ZESTAW - Kawa Lavazza Qualita Rossa 2x1kg + Filiżanka Lavazza Cappuccino 160ml,N/A,"141,00 zł +23% VAT","173,43 zł"
ZESTAW - Kawa Lavazza Qualita Rossa 6x1kg,N/A,"378,49 zł +23% VAT","465,54 zł"
ZESTAW - Kawa Lavazza Qualita Oro 2x1kg + Filiżanka Lavazza Cappuccino 160ml,N/A,"163,31 zł +23% VAT","200,87 zł"
ZESTAW - Kawa Lavazza Qualita Oro 6x1kg,N/A,"444,73 zł +23% VAT","547,02 zł"
Kawa ziarnista Caffe Grano Zimowe Espresso 250g,"39,99 zł","27,63 zł +23% VAT","33,99 zł"
Kapsułki do Nespresso* Lavazza Rossa - 10 sztuk,"19,99 zł","13,81 zł +23% VAT","16,99 zł"
Kawa ziarnista Hardy Milano 1kg,"99,00 zł","68,41 zł +23% VAT","84,15 zł"
Kapsułki do Nespresso* Lavazza Qualita Oro - 10 sztuk,"17,99 zł","12,43 zł +23% VAT","15,29 zł"
ZESTAW - Kawa ziarnista Pellini Top 3x1kg,"352,77 zł","239,00 zł +23% VAT","293,97 zł"
ZESTAW - Kawa ziarnista Pellini Top 6x1kg,"698,34 zł","473,12 zł +23% VAT","581,94 zł"
Kawa ziarnista Pellini Espresso Bar Cremoso no.9 1kg,N/A,"65,03 zł +23% VAT","79,99 zł"
Kawa ziarnista Diemme Oro 1kg,"125,99 zł","87,07 zł +23% VAT","107,09 zł"
6x Kawa ziarnista illy Classico 250g,N/A,"143,85 zł +23% VAT","176,94 zł"
Kawa ziarnista Diemme Oro 500g,"63,99 zł","44,22 zł +23% VAT","54,39 zł"
Kawa ziarnista Diemme Prestigio 1kg,"121,99 zł","84,30 zł +23% VAT","103,69 zł"
ZESTAW - Kawa Lavazza Qualita Rossa 3x1kg,N/A,"191,20 zł +23% VAT","235,17 zł"
Kawa ziarnista Arcaffe Margo 1kg,N/A,"81,29 zł +23% VAT","99,99 zł"
ZESTAW - Kapsułki Nescafé Dolce Gusto Cortado Espresso Macchiato 6x16 sztuk,"154,98 zł","102,39 zł +23% VAT","125,94 zł"
Kapsułki Nescafé Dolce Gusto Cortado Espresso Macchiato 16 sztuk,"29,99 zł","19,50 zł +23% VAT","23,99 zł"
Kapsułki Nescafé Dolce Gusto Cortado Espresso Macchiato 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
ZESTAW - Kapsułki Nescafé Dolce Gusto Latte Macchiato Caramel 6x16 sztuk,"154,98 zł","102,39 zł +23% VAT","125,94 zł"
Kapsułki Nescafé Dolce Gusto Latte Macchiato Caramel 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kapsułki Nescafé Dolce Gusto Latte Macchiato Caramel 16 sztuk,"29,99 zł","19,50 zł +23% VAT","23,99 zł"
Kapsułki Nescafé Dolce Gusto Café au Lait 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kapsułki Nescafé Dolce Gusto Café au Lait 16 sztuk,"29,99 zł","19,50 zł +23% VAT","23,99 zł"
Kawa mielona Lavazza Espresso Italiano 250g,"22,49 zł","15,54 zł +23% VAT","19,12 zł"
Zestaw 3x1kg Kawa ziarnista Tchibo Espresso Sicilia Style,N/A,"120,71 zł +23% VAT","148,47 zł"
Zestaw 3x1kg Kawa ziarnista Tchibo Espresso Milano Style,N/A,"132,78 zł +23% VAT","163,32 zł"
Zestaw 3x1kg Kawa ziarnista Tchibo Caffé Crema Intense,N/A,"125,54 zł +23% VAT","154,41 zł"
Zestaw 3x1kg Kawa ziarnista Tchibo Barista Caffé Crema,N/A,"144,85 zł +23% VAT","178,17 zł"
Kawa ziarnista LaCava Certified Espresso Blend BIO 350g,"59,00 zł","33,58 zł +23% VAT","41,30 zł"
Kawa ziarnista LaCava Black Art Espresso Blend1kg,"129,00 zł","73,41 zł +23% VAT","90,30 zł"
Kawa ziarnista LaCava Black Art Espresso 350g,"49,00 zł","27,89 zł +23% VAT","34,30 zł"
Kawa ziarnista LaCava El Salvador El Cocal Espresso 250g,"69,00 zł","39,27 zł +23% VAT","48,30 zł"
Kawa ziarnista LaCava Colombia El Rubi Espresso 250g,"69,00 zł","39,27 zł +23% VAT","48,30 zł"
